Pulsed/ Streaming,FTSE Index ,FTSE Index Code,Base Currency,PDG,FTSE Index Family,Bloomberg Ticker- Total Return,Bloomberg Codes,Bloomberg Ticker- Price Return,RIC Total Return Codes,FTSE- Declared or Net,RIC Codes,RIC Codes - Price Return
P,FTSE ST All-Share Real Estate Index,FSTAS35,SGD,PDG24,FTSE ST Index Series,-,-,-,-,-,-,.FTFSTAS35
P,FTSE ST All-Share Consumer Discretionary Index,FSTAS40,SGD,PDG24,FTSE ST Index Series,-,-,FSTCS,-,-,-,.FTFSTAS40
P,FTSE ST All-Share Basic Materials Index,FSTAS55,SGD,PDG24,FTSE ST Index Series,-,-,FSTBM,-,-,-,.FTFSTAS55
P,FTSE ST All-Share Energy Index,FSTAS60,SGD,PDG24,FTSE ST Index Series,-,-,FSTOG,-,-,-,.FTFSTAS60
P,FTSE ST All-Share Utilities Index,FSTAS65,SGD,PDG24,FTSE ST Index Series,-,-,FSTUT,-,-,-,.FTFSTAS65
P,FTSE ST All-Share Real Estate Index,FSTAS3510,SGD,PDG24,FTSE ST Index Series,-,-,FSTRE,-,-,-,.FTFSTAS3510
P,FTSE ST All-Share Real Estate Investment and Services Index,FSTAS351010,SGD,PDG24,FTSE ST Index Series,-,-,FSTREH,-,-,-,.FTFSTAS351010
P,FTSE ST All-Share Real Estate Investment Trusts Index,FSTAS351020,SGD,PDG24,FTSE ST Index Series,-,-,FSTREI,-,-,-,.FTFSTAS351020
S,FTSE ST Large/Mid Cap Index,FSTLM,SGD,PDG124,FTSE ST Index Series,-,-,.TRIFSTLM,-,.FTFSTLM,,
P,FTSE/JSE RAFI 40 Index - QSR,J261 ,ZAR,PDG2,FTSE/JSE Africa RAFI Index Series,-,J261,-,-,.FTJ261,,
P,FTSE/JSE RAFI All Share Index - QSR,J265 ,ZAR,PDG2,FTSE/JSE Africa RAFI Index Series,-,J265,-,-,.FTJ265,,
S,FTSE/JSE Resource 10 30% Capped Index,J310,ZAR,PDG102,FTSE/JSE Africa Capped Index Series,-,-,.TRIJ310,-,.FTJ310,,
S,FTSE/JSE Global Investor Index,J501,ZAR,PDG102,FTSE/JSE Africa Index Series,,,,.TRIJ501,,.FTJ501,
