Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Ticker- Total Return,Bloomberg Ticker- Net Return,Bloomberg Ticker- Price Return,RIC Code - Total Return,RIC Code - Net Return,RIC Codes - Price Return
P,FTSE ADX Telecommunications Index,FADTELI,AED,PDG4,-,-,FADTELI,-,-,.FTFADTELI
P,FTSE ADX Health Care Index,FADHCI,AED,PDG4,-,-,FADHCI,-,-,.FTFADHCI
P,FTSE ADX Financials Index,FADFSI,AED,PDG4,-,-,FADFSI,-,-,.FTFADFSI
P,FTSE ADX Real Estate Index,FADREI,AED,PDG4,-,-,FADREI,-,-,.FTFADREI
P,FTSE ADX Consumer Discretionary Index,FADCDI,AED,PDG4,-,-,FADCDI,-,-,.FTFADCDI
P,FTSE ADX Consumer Staples Index,FADCSI,AED,PDG4,-,-,FADCSI,-,-,.FTFADCSI
P,FTSE ADX Industrials Index,FADGII,AED,PDG4,-,-,FADGII,-,-,.FTFADGII
P,FTSE ADX Energy Index,FADENI,AED,PDG4,-,-,FADENI,-,-,.FTFADENI
P,FTSE ADX Utilities Index,FADUTI,AED,PDG4,-,-,FADUTI,-,-,.FTFADUTI
P,FTSE ADX Basic Materials Index,FADBMI,AED,PDG4,-,-,FADBMI,-,-,.FTFADBMI
P,FTSE ADX 15 Index,FADX15,AED,PDG4,-,-,-,-,-,.FTFADX15
S,FTSE Developed ex Korea ex Japan 2Size/2Val 5% Capped Factor Index,AWDXSV,JPY,PDG101,-,-,-,.TRIAWDXSV,-,.FTAWDXSV
S,FTSE Developed ex Korea ex Japan 2Mom/Size/Val 5% Capped Factor Index,AWDXMSV,JPY,PDG101,-,-,-,.TRIAWDXMSV,-,.FTAWDXMSV
S,FTSE Developed ex Korea ex Japan 2Qual/2Vol 5% Capped Factor Index,AWDXQV,JPY,PDG101,-,-,-,.TRIAWDXQV,-,.FTAWDXQV
S,FTSE Developed ex Korea ex Japan 2Mom/2Qual/2Vol 5% Capped Factor Index,AWDXMQV,JPY,PDG101,-,-,-,.TRIAWDXMQV,-,.FTAWDXMQV
S,FTSE Developed ex Korea ex Japan Dynamic Multifactor Index,FDXKJDM,JPY,PDG101,-,-,-,.TRIFDXKJDM,-,-
S,FTSE Developed ex Korea ex Japan Dynamic Multifactor Net Tax Index,FDXKJDMN,JPY,PDG101,-,-,-,-,.TRIFDXKJDMN,-
S,FTSE Blossom Japan Sector Relative Index,FBLSJPNS,JPY,PDG101,-,-,-,.TRIFBLSJPNS,-,.FTFBLSJPNS
S,JUST 100 Index,JUONE,USD,PDG101,-,-,-,.TRIJUONE,-,.FTJUONE
S,FTSE JPX Net Zero Japan 200 Index,FJNZJ2,JPY,PDG101,-,-,-,.TRIFJNZJ2,-,.FTFJNZJ2
S,FTSE JPX Net Zero Japan 500 Index,FJNZJ5,JPY,PDG101,-,-,-,.TRIFJNZJ5,-,.FTFJNZJ5
S,FTSE Asia Pacific Low Carbon Select Index,GPCSP006,USD,PDG101,-,-,-,.TRIGPCSP006,-,.FTGPCSP006 
S,FTSE 350 Expiry Index,NMXSP,GBP,PDG101,-,-,-,.TRINMXSP,-,.FTNMXSP
S,FTSE EPRA Nareit Developed Green Target Index,FENDGT,USD,PDG110,-,-,-,.TRIFENDGT,-,.FTFENDGT
