Pulsed/ Streaming,Index Name,Base Currency,PDG,Availability,RussellTick,Bloomberg Ticker,Refinitiv RIC,,,
S,Russell 1000 Insurance Supersector Index - Total Return,USD,PDG01RR,Real Time,R1ICBINST,-,.R1ICBINST,,,
S,Russell 1000 Investment Banking and Brokerage Services  Sector Index,USD,PDG01RR,Real Time,R1ICBIBS,-,.R1ICBIBS,,,
S,Russell 1000 Investment Banking and Brokerage Services  Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBIBST,-,.R1ICBIBST,,,
S,Russell 1000 Leisure Goods Sector Index,USD,PDG01RR,Real Time,R1ICBLGD,-,.R1ICBLGD,,,
S,Russell 1000 Leisure Goods Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBLGDT,-,.R1ICBLGDT,,,
S,Russell 1000 Life Insurance Sector Index,USD,PDG01RR,Real Time,R1ICBLFI,-,.R1ICBLFI,,,
S,Russell 1000 Life Insurance Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBLFIT,-,.R1ICBLFIT,,,
S,Russell 1000 Media Sector Index,USD,PDG01RR,Real Time,R1ICBMED,-,.R1ICBMED,,,
S,Russell 1000 Media Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBMEDT,-,.R1ICBMEDT,,,
S,Russell 1000 Media Supersector Index,USD,PDG01RR,Real Time,R1ICBMIA,-,.R1ICBMIA,,,
S,Russell 1000 Media Supersector Index - Total Return,USD,PDG01RR,Real Time,R1ICBMIAT,-,.R1ICBMIAT,,,
S,Russell 1000 Medical Equipment and Services Sector Index,USD,PDG01RR,Real Time,R1ICBMES,-,.R1ICBMES,,,
S,Russell 1000 Medical Equipment and Services Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBMEST,-,.R1ICBMEST,,,
S,Russell 1000 Mortgage Real Estate Investment Trusts Sector Index,USD,PDG01RR,Real Time,R1ICBMRI,-,.R1ICBMRI,,,
S,Russell 1000 Mortgage Real Estate Investment Trusts Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBMRIT,-,.R1ICBMRIT,,,
S,Russell 1000 Non-life Insurance Sector Index,USD,PDG01RR,Real Time,R1ICBNLI,-,.R1ICBNLI,,,
S,Russell 1000 Non-life Insurance Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBNLIT,-,.R1ICBNLIT,,,
S,Russell 1000 Oil Gas and Coal Sector Index,USD,PDG01RR,Real Time,R1ICBOGC,-,.R1ICBOGC,,,
S,Russell 1000 Oil Gas and Coal Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBOGCT,-,.R1ICBOGCT,,,
S,"Russell 1000 Personal Care, Drug and Grocery Stores  Sector Index",USD,PDG01RR,Real Time,R1ICBPDG,-,.R1ICBPDG,,,
S,"Russell 1000 Personal Care, Drug and Grocery Stores  Sector Index - Total Return",USD,PDG01RR,Real Time,R1ICBPDGT,-,.R1ICBPDGT,,,
S,"Russell 1000 Personal Care, Drug and Grocery Stores  Supersector Index",USD,PDG01RR,Real Time,R1ICBPCD,-,.R1ICBPCD,,,
S,"Russell 1000 Personal Care, Drug and Grocery Stores  Supersector Index - Total Return",USD,PDG01RR,Real Time,R1ICBPCDT,-,.R1ICBPCDT,,,
S,Russell 1000 Personal Goods Sector Index,USD,PDG01RR,Real Time,R1ICBPGD,-,.R1ICBPGD,,,
S,Russell 1000 Personal Goods Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBPGDT,-,.R1ICBPGDT,,,
S,Russell 1000 Pharmaceuticals and Biotechnology Sector Index,USD,PDG01RR,Real Time,R1ICBPHB,-,.R1ICBPHB,,,
S,Russell 1000 Pharmaceuticals and Biotechnology Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBPHBT,-,.R1ICBPHBT,,,
S,Russell 1000 Real Estate  Supersector Index,USD,PDG01RR,Real Time,R1ICBREA,-,.R1ICBREA,,,
S,Russell 1000 Real Estate  Supersector Index - Total Return,USD,PDG01RR,Real Time,R1ICBREAT,-,.R1ICBREAT,,,
S,Russell 1000 Real Estate Industry Index,USD,PDG01RR,Real Time,R1ICBRE,-,.R1ICBRE,,,
S,Russell 1000 Real Estate Industry Index - Total Return,USD,PDG01RR,Real Time,R1ICBRETR,-,.R1ICBRETR,,,
S,Russell 1000 Real Estate Investment and Services Sector Index,USD,PDG01RR,Real Time,R1ICBRES,-,.R1ICBRES,,,
S,Russell 1000 Real Estate Investment and Services Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBREST,-,.R1ICBREST,,,
S,Russell 1000 Real Estate Investment Trusts Sector Index,USD,PDG01RR,Real Time,R1ICBREI,-,.R1ICBREI,,,
S,Russell 1000 Real Estate Investment Trusts Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBREIT,-,.R1ICBREIT,,,
S,Russell 1000 Retail  Supersector Index,USD,PDG01RR,Real Time,R1ICBRTL,-,.R1ICBRTL,,,
S,Russell 1000 Retail  Supersector Index - Total Return,USD,PDG01RR,Real Time,R1ICBRTLT,-,.R1ICBRTLT,,,
S,Russell 1000 Retailers  Sector Index,USD,PDG01RR,Real Time,R1ICBRET,-,.R1ICBRET,,,
S,Russell 1000 Retailers  Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBRETT,-,.R1ICBRETT,,,
S,Russell 1000 Software and Computer Services Sector Index,USD,PDG01RR,Real Time,R1ICBSCS,-,.R1ICBSCS,,,
S,Russell 1000 Software and Computer Services Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBSCST,-,.R1ICBSCST,,,
S,Russell 1000 Technology Hardware and Equipment Sector Index,USD,PDG01RR,Real Time,R1ICBTHE,-,.R1ICBTHE,,,
S,Russell 1000 Technology Hardware and Equipment Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBTHET,-,.R1ICBTHET,,,
S,Russell 1000 Technology Industry Index,USD,PDG01RR,Real Time,R1ICBTE,-,.R1ICBTE,,,
S,Russell 1000 Technology RIC 22.5/45 Capped Index,USD,PDG01RR,Real Time,RIYWC,-,.RIYWC,,,
S,Russell 1000 Technology RIC 22.5/45 Capped Total Return Index,USD,PDG01RR,Real Time,RIYWCT,RIYWC1,.RIYWCT,,,
S,Russell 1000 Technology Supersector Index,USD,PDG01RR,Real Time,R1ICBTEC,-,.R1ICBTEC,,,
S,Russell 1000 Telecommunications Equipment Sector Index,USD,PDG01RR,Real Time,R1ICBTEQ,-,.R1ICBTEQ,,,
S,Russell 1000 Telecommunications Equipment Sector Index - Total Return,USD,PDG01RR,Real Time,R1ICBTEQT,-,.R1ICBTEQT,,,
S,Russell 1000 Telecommunications Industry Index,USD,PDG01RR,Real Time,R1ICBTELE,-,.R1ICBTELE,,,
S,Russell 1000 Telecommunications Industry Index - Total Return,USD,PDG01RR,Real Time,R1ICBTELET,-,.R1ICBTELET,,,
