Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Tickers,RIC Codes
S,FTSE Eurozone Italy Ex-Bank of Italy Aggregate Index 5-10yr Realtime,xBOI_AGG_JB,EUR,PDG01MTS,MTSIAGJR,MTSIAGJR= 
S,FTSE Eurozone Italy Ex-Bank of Italy Aggregate Index 10+yr Realtime,xBOI_AGG_K,EUR,PDG01MTS,MTSIAGKR,MTSIAGKR= 
S,FTSE Eurozone Ex-Bank of Italy BOT Index,xBOI_BOT_G,EUR,PDG01MTS,MTSIBOTR,MTSIBOTR= 
S,FTSE Eurozone Mid Price Ex-Bank of Italy BOT EUR,xBOI_BOT_G_MP,EUR,PDG01MTS,FMMPBOTR,-
S,FTSE Eurozone Italy BTP Ex-Bank,xBOI_BTP_G,EUR,PDG01MTS,MTSIBTPR,MTSIBTPR= 
S,FTSE Eurozone FTSE Ex-Bank of Italy BTP Index Mid,xBOI_BTP_G_MP,EUR,PDG01MTS,FMMPBTPR,-
S,FTSE Eurozone Italy BTPi Ex-Bank,xBOI_BTPi_G,EUR,PDG01MTS,MTSIBTIR,MTSIBTIR= 
S,FTSE Eurozone FTSE Ex-Bank of Italy BTPi Index Mid,xBOI_BTPi_G_MP,EUR,PDG01MTS,FMMPITLR,-
S,FTSE Eurozone Italy CCT Ex-Bank,xBOI_CCT_G,EUR,PDG01MTS,MTSICCTR,MTSICCTR= 
S,FTSE Eurozone FTSE Ex-Bank of Italy CCT Index Mid,xBOI_CCT_G_MP,EUR,PDG01MTS,FMMPCCTR,-
S,FTSE Eurozone Italy Composite E,xBOI_CMP_G,EUR,PDG01MTS,MTSICMPR,MTSICMPR= 
S,FTSE Eurozone Italy CTZ Ex-Bank,xBOI_CTZ_G,EUR,PDG01MTS,MTSICTZR,MTSICTZR= 
S,FTSE Eurozone FTSE Ex-Bank of Italy CTZ Index Mid,xBOI_CTZ_G_MP,EUR,PDG01MTS,FMMPCTZR,-
S,FTSE Eurozone Ex-Bank of Italy 1-3Y (Mid Price) Index,xBOIAGGAMP,EUR,PDG01MTS,-,FMMPAGAR= 
S,FTSE Eurozone Ex-Bank of Italy 3-5Y (Mid Price) Index,xBOIAGGBMP,EUR,PDG01MTS,-,FMMPAGBR= 
S,FTSE Eurozone Ex-Bank of Italy (Mid Price) Index,xBOIAGGGMP,EUR,PDG01MTS,-,FMMPAGGR= 
S,FTSE Eurozone Ex-Bank of Italy BOT (Mid Price) Index,xBOIBOTGMP,EUR,PDG01MTS,-,FMMPBOTR= 
S,FTSE Eurozone Ex-Bank of Italy BTP (Mid Price) Index,xBOIBTPGMP,EUR,PDG01MTS,-,FMMPBTPR= 
